text,color,size,position,time,sn,userid
簽,#A7FE39,1,0,0,30997,k9219059
2022.8.22第一個 耶～～😋,#FF02D3,2,0,2,30997,Amy20080403
👌,#FFFFFF,1,0,10,30997,winolee
一集接一集停不下來～,#FFFFFF,1,0,35,30997,eggplant171
前面的，你每集都出現耶😂,#FFFFFF,1,0,37,30997,love3769846
上弦七彌豆子,#FFFFFF,1,0,62,30997,a3345890
對呀,#FFFFFF,1,0,72,30997,a806058
頭香~~~,#FFFFFF,1,0,95,30997,comyouhelpme
真香,#FFFFFF,2,0,203,30997,lovesid0923
上弦七彌豆子,#FFFFFF,1,0,355,30997,grd345325
墮姬   和    彌豆子   誰比較漂亮,#FF0026,2,1,392,30997,plin09923
靈魂考驗？！,#FFFFFF,1,0,403,30997,yafangshen87
帥帥,#FF0026,1,0,416,30997,C20210520
從本邊那裏得知這篇的配音好像超屌,#00C3FC,1,1,547,30997,robloxaron
終於上架了,#FFFFFF,1,0,608,30997,guarrian1912
終於等到了,#FFFFFF,1,0,718,30997,Hastur880921
Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,#FFFFFF,1,0,1400,30997,deathknigh
ㄟㄟㄟㄟㄟㄟㄟ,#FFFFFF,1,0,1490,30997,kbmpig0706
這笑容由我來守護,#FFFFFF,2,2,1746,30997,lovesid0923
叫的有點色，還有那個笑的有點可怕,#FFFFFF,1,0,1758,30997,aaidjd
他心想，原來殺人這麼好玩,#FFFFFF,1,0,1800,30997,rebornall27
"我徵
服了，他哥呢？怎麼不保護墮姬",#FF0026,2,2,1887,30997,sttcedu1125
MAJAJA,#FDE53D,2,0,1924,30997,f82733253
假死,#FFFFFF,1,0,1943,30997,grd345325
唉,#FF0026,2,2,1953,30997,sttcedu1125
零號跟陸號的差距,#FF9625,1,0,2053,30997,LOVEIYAON3
看禰豆子這樣猛踩莫名覺得好爽XD,#FFFFFF,1,0,2087,30997,gamefan
+1,#FF9496,1,0,2143,30997,sb7271
你全家才臭,#FFFFFF,1,0,2340,30997,grd345325
彌豆子：血鬼宿 爆血！,#FF0026,1,0,2505,30997,Giliang1260
很難想象彌豆子成為上弦會怎樣,#FFFFFF,1,0,2506,30997,henry100625
很活該,#FFFFFF,1,0,2556,30997,huejen1225
迷豆子有上旋能力吧,#FFFFFF,1,0,2656,30997,hankiegene
樂高人,#FFFFFF,1,0,2675,30997,bird8200
叫屁喔,#FFFFFF,2,0,2699,30997,s0714279
很難像愈史郎跟珠世保有意識,#FFFFFF,1,0,2760,30997,eggplant171
這個脫去打換位血戰,#FFFFFF,1,0,2781,30997,sbb66885
好厲害,#FFFFFF,1,0,2789,30997,love3769846
剁雞要被烤成上弦之烤肉了,#FF0026,1,0,2820,30997,Giliang1260
加油啊啊啊,#FFFFFF,1,0,2834,30997,lilyf7tif469
吃土嘍,#FFFFFF,1,0,2835,30997,b2mncr259t
好帥,#FFFFFF,1,0,2840,30997,a5995146
這笑容由我來守護,#FFFFFF,2,0,2861,30997,lovesid0923
絕對不是彌豆子！！！,#FFFFFF,1,0,2894,30997,fu75510
"好狂野的

好狂野",#FFFFFF,1,0,2897,30997,s09066123
慘了！！彌豆子要變成第二個墮姬了,#FF0026,2,2,2902,30997,sttcedu1125
功夫嗎？,#FFFFFF,1,0,2903,30997,love3769846
很色,#FFFFFF,1,0,2906,30997,grd345325
抖s,#FFFFFF,1,0,2952,30997,zw982603
直接猛打墮姬,#FF9496,1,0,2961,30997,sb7271
我幫你加個M吧,#FFFFFF,1,0,2973,30997,a806058
他哥哥不阻止嗎?,#FFFFFF,1,0,3020,30997,a5995146
彌豆子考慮參加世足嗎,#FFFFFF,1,0,3025,30997,Dora0513
鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝,#A7FE39,1,0,3058,30997,Yunnnna
😂,#FF9496,1,0,3060,30997,sb7271
哈哈感覺好好玩我也想玩也,#FFFFFF,1,0,3080,30997,a686932
毀容,#FFFFFF,1,0,3124,30997,grd345325
看到血直接高潮,#B538FA,1,0,3181,30997,henry100625
鵝,#A7FE39,1,0,3207,30997,Yunnnna
（高潮）…...….….…,#FFFFFF,1,0,3243,30997,aaidjd
wow,#FFFFFF,1,0,3254,30997,KM07
哈哈哈哈哈哈哈,#A7FE39,2,0,3327,30997,Yunnnna
真香,#FFFFFF,1,0,3351,30997,LWT1109
怎麼變毛利蘭,#FFFFFF,1,0,3355,30997,Sunny0000001
這牙齒聲好讚,#FFFFFF,1,0,3405,30997,bird8200
水呼差點直接滅門😂,#FFFFFF,1,0,3559,30997,jn9857
如果沒忍住義勇和炭治郎他們的命就不保了,#FF9496,1,0,3593,30997,sb7271
牙齒不痛嗎,#B538FA,1,0,3599,30997,henry100625
鱗瀧跟富岡：我的命呀,#FFFFFF,1,0,3604,30997,love3769846
淋奏罵很餓啦！槓！,#FFFFFF,1,0,3645,30997,storyf77007
他哥來了,#FFFFFF,1,0,3653,30997,grd345325
林北很餓啦,#FFFFFF,1,0,3663,30997,liy23064
兄妹爭霸戰,#FF0026,2,2,3745,30997,sttcedu1125
彌逗子：***我很餓,#FFFFFF,1,0,3772,30997,aaidjd
墮姬：是我受傷才對阿！喂！,#FFFFFF,1,0,3857,30997,a1085999
Ppppppppppppppppppppppppppppppppppppp,#FFFFFF,1,0,3905,30997,deathknigh
當自己是魘夢喔,#B538FA,1,0,3979,30997,henry100625
Psrsmx,#FFFFFF,1,0,4040,30997,aa093625122
減肥就是這麼痛苦,#FFFFFF,1,0,4055,30997,Sunny0000001
把哥哥殺了就神作了,#FFFFFF,1,0,4070,30997,bird8200
他在吃鐵,#FFFFFF,1,0,4072,30997,grd345325
起飛,#FFFFFF,1,0,4106,30997,aaidjd
嗯，看得出來,#FFFFFF,1,0,4141,30997,huooyy
有點恐怖,#FFFFFF,1,0,4250,30997,yahsudisu
奶🥵🥵🥵🥵,#FFFFFF,1,0,4268,30997,aaidjd
誰現在在看,#B538FA,1,0,4296,30997,henry100625
殭屍,#FFFFFF,1,0,4347,30997,twn1020228
我,#FFFFFF,1,0,4354,30997,lpx1007
我,#FFFFFF,1,0,4355,30997,aa093625122
我,#FFFFFF,1,0,4375,30997,Helen520999
我,#FFFFFF,1,0,4378,30997,yanghanchen3
我,#FFFFFF,1,0,4385,30997,aaidjd
我,#FFFFFF,1,0,4428,30997,supercattr
毀容了,#FFFFFF,1,0,4450,30997,milkcake0510
有點恐怖恐怖,#FFFFFF,1,0,4473,30997,twn1020228
奶…🥵🥵🥵🥵🥵🥵🥵🥵🥵,#FFFFFF,1,0,4531,30997,grd345325
對,#FFFFFF,1,0,4551,30997,aaidjd
牙齒有點,#FFFFFF,1,0,4556,30997,twn1020228
前方高能！！！,#FF0026,1,0,4560,30997,Giliang1260
華麗登場,#FF9496,1,0,4662,30997,sb7271
太帥了,#FFFFFF,1,0,4676,30997,huejen1225
幾個在看,#FFFFFF,1,0,4677,30997,aaidjd
華麗哥你終於來啦,#FFFFFF,1,0,4688,30997,sheila1225mj
華麗耍廢了兩集,#FFFFFF,1,0,4740,30997,bird8200
華麗的鬼化,#FFFFFF,1,0,4875,30997,YANG1787
還不是因為你們在地底下拖太久,#FFFFFF,1,0,4930,30997,gamefan
彌豆子在這裡好可以,#FFFFFF,1,0,4944,30997,AURORA236
誰叫你和一個分身打那麼久,#FFFFFF,1,0,4964,30997,huooyy
呵呵,#FFFFFF,1,0,4998,30997,grd345325
人家就是,#FF9496,1,0,5139,30997,sb7271
生氣,#FFFFFF,1,0,5145,30997,huejen1225
啊？,#FFFFFF,1,0,5260,30997,boy15935764
R?,#FFFFFF,1,0,5267,30997,p9874123658
蛤!!,#FFFFFF,1,0,5282,30997,a70912003
R?,#FFFFFF,1,0,5286,30997,jayjay10206
剁雞：啊？,#FF0026,1,0,5295,30997,Giliang1260
蛤,#FFFFFF,1,0,5305,30997,crip761008
蝦,#FFFFFF,1,0,5308,30997,YANG1787
墮姬：....……..….！,#FFFFFF,1,0,5309,30997,aaidjd
阿,#FFFFFF,1,0,5330,30997,Helen520999
蛤為什麼,#FFFFFF,1,0,5342,30997,vera1219
啊？,#FFFFFF,1,0,5349,30997,huooyy
lag了一下頭才掉落,#FF0026,1,2,5360,30997,gj94x87
蛤,#FFFFFF,1,0,5365,30997,lisaelf
啊？,#FFFFFF,1,1,5372,30997,plin09923
蛤WW,#FFFFFF,1,0,5397,30997,YANG1787
怎麼死的,#FFFFFF,1,0,5405,30997,meanjia9
阿,#FFFFFF,1,0,5422,30997,tengyuny
啊？斷了？好好笑,#FFFFFF,1,0,5431,30997,kww990806
豬豬被同化了,#FFFFFF,1,0,5439,30997,love3769846
現在有人在看嗎,#FFFFFF,1,0,5470,30997,aaidjd
善意小劇場,#FFFFFF,1,0,5568,30997,twn1020228
睡著都還知道自己該往哪走、該做什麼WW,#FFFFFF,1,0,5617,30997,gamefan
可能是夢遊,#FFFFFF,1,0,5643,30997,yukaiin0316
她嘴巴……欠揍,#FFFFFF,1,0,5654,30997,grd345325
接頭藝人....,#FFFFFF,1,0,5731,30997,gamefan
無頭,#FFFFFF,1,0,5754,30997,grd345325
所以為什麼,#00C3FC,2,0,5772,30997,vera1219
還真是一覽無遺啊,#FFFFFF,1,0,5936,30997,wxz810
有三個老婆，應該看膩了,#FFFFFF,1,0,5944,30997,love3769846
那個年代，女生穿和服都不會穿內褲的…,#FFFFFF,1,0,5971,30997,yasmine0829
這兩個在幹嘛?還不快跑,#FFFFFF,1,0,6032,30997,gamefan
在小小的花園裡 挖呀挖呀挖~~~,#FF0026,2,2,6396,30997,zxzx616266
炭：水色真珠音調（錯棚,#00C3FC,2,0,6402,30997,pauline2009
唱《極度倒霉的藍調》,#FFFFFF,1,0,6420,30997,crip761008
碧色珍珠音調！,#FF9496,2,2,6424,30997,wrxmars
不，人家比較喜歡碧色,#A7FE39,2,0,6430,30997,cgmbms2415
以閃亮的歌聲開始現場演唱！！,#FF9496,2,2,6434,30997,wrxmars
呃,#FFFFFF,1,0,6535,30997,wjw1022
唱的好,#FF9496,1,0,6553,30997,sb7271
叫你用唱的。。。,#FFFFFF,1,0,6557,30997,jn9857
音柱很懂怎麼安撫欸,#FFFFFF,1,0,6569,30997,huooyy
哇有夠難聽,#FFFFFF,1,0,6575,30997,j5730961
音癡…..,#FFFFFF,1,0,6580,30997,wjw1022
是說小炭你用頭撞昏禰豆子不是比較快嗎😂,#FFFFFF,1,0,6590,30997,yasmine0829
不會唱歌,#FFFFFF,1,0,6644,30997,twn1020228
太好聽了下次別唱了,#FFFFFF,1,0,6721,30997,fwqnbdpkcs
唱得....真...真好...,#FFFFFF,1,0,6722,30997,sheila1225mj
炭治郎的力氣😨😨😨,#FFFFFF,1,0,6740,30997,Mickey0212
我終於知道豆子為什麼不變回來了因為太難聽,#FFFFFF,1,0,6751,30997,twn1020228
禰豆子：太難聽了，所以耳朵暈了,#FFFFFF,1,0,6782,30997,love3769846
禰豆子:明明是粉色,#FFFFFF,1,0,6803,30997,huooyy
唱的很好，下次別唱,#FFFFFF,1,0,6815,30997,lagking0000
回來了,#FF9496,1,0,7047,30997,sb7271
還以為這段會聽到中配的配音員唱,#FFFFFF,1,0,7118,30997,sugar179
沒配唱差評QQ,#FFFFFF,1,0,7140,30997,eggplant171
這是親生兒子嗎聲音都不一樣,#FFFFFF,1,0,7148,30997,twn1020228
想聽中文翻唱 哈,#FFFFFF,2,0,7155,30997,lovesid0923
唱歌是原文阿...,#FFFFFF,1,0,7173,30997,singing723
歌聲,#FFFFFF,1,0,7204,30997,twn1020228
可能沒有多的經費製作翻唱吧？,#FFFFFF,1,0,7218,30997,pauline2009
有可能是版權費的問題,#FFFFFF,1,0,7253,30997,qq0903
翻唱應該有點難，因為版權加上詞曲,#FFFFFF,1,0,7363,30997,love3769846
還以為這段會聽到中配的配音員唱,#FFFFFF,1,0,7445,30997,S0918762
好好喔，媽媽的笑容好溫暖～  Q^Q,#FFFFFF,1,1,7502,30997,dzero1019
不覺得媽媽長得很像天元的老婆嗎,#FFFFFF,1,0,7550,30997,zoey11060
QQ,#FFFFFF,1,0,7637,30997,s09066123
炭：好，解決 先溜了,#FFFFFF,1,0,7650,30997,a6xfhg
黑暗力量的引力是很強大的，恭喜回來~,#FFFFFF,1,0,7712,30997,kdrty58776
好可愛,#FFFFFF,1,0,7782,30997,fengbang98
瞬間消風,#FFFFFF,1,0,7804,30997,yukaiin0316
再怎麼樣，畢竟是小孩,#FFFFFF,1,0,7815,30997,love3769846
消風了，好可愛,#FFFFFF,1,0,7837,30997,gamefan
真乖,#FFFFFF,2,2,7862,30997,lovesid0923
好可愛哦~,#FFFFFF,1,0,7882,30997,sheila1225mj
好可愛👁️👅👁️,#FFFFFF,1,0,7889,30997,a1085999
好可愛！,#00C3FC,1,0,7913,30997,yiyin1031026
睡得真香,#FFFFFF,1,0,7913,30997,edenshu1221
年輕真好 倒頭就睡,#FFFFFF,1,0,7915,30997,lisaelf
彌豆子：我想回箱子睡 哥哥帶我去,#FF0026,1,0,7940,30997,Giliang1260
求認養一隻,#FFFFFF,1,0,7947,30997,love3769846
流著淚怎麼睡得著,#FFFFFF,2,0,7950,30997,ab679101
好可愛,#FFFFFF,2,0,8001,30997,plin09923
忘記把彌豆子丟回箱內就神作了,#FFFFFF,1,0,8020,30997,bird8200
彌豆子好可愛,#FF0026,1,0,8035,30997,Giliang1260
他想其他的媽媽了,#FFFFFF,1,0,8044,30997,lig63739
XD,#FFFFFF,1,0,8053,30997,a70912003
辛苦了,#FFFFFF,1,0,8057,30997,kdrty58776
但你流鼻血了,#FFFFFF,1,0,8080,30997,crip761008
可愛,#FF0026,1,0,8080,30997,cs52059420
哭完馬上睡著？？？,#FFFFFF,1,0,8091,30997,zw982603
好可愛,#FFFFFF,1,0,8155,30997,Erick1227
ㄏㄚ,#FFFFFF,1,0,8208,30997,gn00625505
掉頭就走,#FFFFFF,1,0,8230,30997,s09066123
🤣🤣🤣🤣🤣🤣🤣🤣,#FFFFFF,1,0,8279,30997,edenshu1221
這種時候趕快把她碎屍萬段吧，免得復活,#FFFFFF,1,0,8296,30997,huejen1225
歐膩醬,#FFFFFF,1,0,8412,30997,ye20140122
這齣戲很喜歡詢問腦漿,#FFFFFF,1,0,8424,30997,love3769846
墮姬：嗚嗚嗚嗚嗚嗚嗚嗚,#FFFFFF,1,0,8439,30997,aaidjd
因為彌豆子的攻擊吧⋯⋯,#FFFFFF,1,0,8455,30997,eggplant171
口音逐漸可愛化,#FFFFFF,1,0,8471,30997,huooyy
哈哈哈音柱嘴砲能力也蠻強的,#FFFFFF,1,0,8489,30997,sheila1225mj
剁雞：哥哥出來教訓這個小鬼！！,#FF0026,1,0,8490,30997,Giliang1260
前面玉姐後面蘿莉,#B538FA,1,0,8552,30997,henry100625
😂,#FFFFFF,1,0,8558,30997,wanruceng5
這語氣好欠扁XD,#FFFFFF,1,0,8561,30997,sunny890517
音柱好嗆,#FFFFFF,1,0,8563,30997,edenshu1221
這邊好可愛,#FFFFFF,1,0,8575,30997,taco5678
墮姬他哥要從他頭爬出來了......前方高能,#FFFFFF,1,0,8598,30997,grd345325
這段哭腔未免太強了吧！,#FFFFFF,1,0,8603,30997,sunny890517
抱頭痛哭,#FFFFFF,1,0,8605,30997,deathknigh
真.抱頭痛哭,#FFFFFF,1,0,8622,30997,sheila1225mj
